tract,neighborhood,note
9809,Bayview Hunters Point,empty
9806,Bayview Hunters Point,empty
612,Bayview Hunters Point,empty
610,Bayview Hunters Point,empty
230.03,Bayview Hunters Point,empty
233,Bayview Hunters Point,empty
232,Bayview Hunters Point,empty
231.03,Bayview Hunters Point,empty
231.02,Bayview Hunters Point,empty
230.01,Bayview Hunters Point,empty
234,Bayview Hunters Point,empty
254.03,Bernal Heights,empty
254.02,Bernal Heights,empty
254.01,Bernal Heights,empty
253,Bernal Heights,empty
252,Bernal Heights,empty
251,Bernal Heights,empty
205,Castro/Upper Market,empty
204.01,Castro/Upper Market,empty
206.02,Castro/Upper Market,empty
203,Castro/Upper Market,empty
206.01,Castro/Upper Market,empty
170,Castro/Upper Market,empty
169,Castro/Upper Market,empty
611.02,Chinatown,empty
611.01,Chinatown,empty
118,Chinatown,empty
113,Chinatown,empty
107.01,Chinatown,empty
107.02,Chinatown,empty
263.03,Excelsior,empty
263.02,Excelsior,empty
263.01,Excelsior,empty
260.02,Excelsior,empty
260.01,Excelsior,empty
260.04,Excelsior,empty
256,Excelsior,empty
260.03,Excelsior,empty
615.07,Financial District/South Beach,empty
615.08,Financial District/South Beach,empty
615.06,Financial District/South Beach,empty
615.05,Financial District/South Beach,empty
615.04,Financial District/South Beach,empty
615.03,Financial District/South Beach,empty
615.02,Financial District/South Beach,empty
615.01,Financial District/South Beach,empty
117,Financial District/South Beach,empty
105,Financial District/South Beach,empty
218,Glen Park,empty
217,Glen Park,empty
9803,Golden Gate Park,empty
171.02,Haight Ashbury,empty
171.01,Haight Ashbury,empty
167,Haight Ashbury,empty
166.01,Haight Ashbury,empty
166.02,Haight Ashbury,empty
168.02,Hayes Valley,empty
168.01,Hayes Valley,empty
164,Hayes Valley,empty
163,Hayes Valley,empty
162,Hayes Valley,empty
452.02,Inner Richmond,empty
452.01,Inner Richmond,empty
451,Inner Richmond,empty
402,Inner Richmond,empty
401,Inner Richmond,empty
301.01,Inner Sunset,empty
303.02,Inner Sunset,empty
303.01,Inner Sunset,empty
302.02,Inner Sunset,empty
302.01,Inner Sunset,empty
301.02,Inner Sunset,empty
155,Japantown,empty
604,Lakeshore,empty
332.04,Lakeshore,empty
332.03,Lakeshore,empty
332.01,Lakeshore,empty
9802,Lincoln Park,empty
165,Lone Mountain/USF,empty
157.02,Lone Mountain/USF,empty
157.01,Lone Mountain/USF,empty
156,Lone Mountain/USF,empty
130.02,Marina,empty
130.01,Marina,empty
129.02,Marina,empty
129.01,Marina,empty
128.02,Marina,empty
128.01,Marina,empty
126.02,Marina,empty
126.01,Marina,empty
127,Marina,empty
9805.01,McLaren Park,empty
229.03,Mission,empty
229.02,Mission,empty
229.01,Mission,empty
228.03,Mission,empty
228.01,Mission,empty
228.02,Mission,empty
207.01,Mission,empty
208.01,Mission,empty
201.01,Mission,empty
210,Mission,empty
209,Mission,empty
207.02,Mission,empty
202.02,Mission,empty
202.01,Mission,empty
201.02,Mission,empty
177,Mission,empty
208.02,Mission,empty
607.03,Mission Bay,empty
607.02,Mission Bay,empty
607.01,Mission Bay,empty
120.02,Nob Hill,empty
120.01,Nob Hill,empty
119.02,Nob Hill,empty
119.01,Nob Hill,empty
112,Nob Hill,empty
111.02,Nob Hill,empty
111.01,Nob Hill,empty
108,Nob Hill,empty
121,Nob Hill,empty
215,Noe Valley,empty
214,Noe Valley,empty
216,Noe Valley,empty
213,Noe Valley,empty
212,Noe Valley,empty
211,Noe Valley,empty
101.02,North Beach,empty
101.01,North Beach,empty
106,North Beach,empty
104.02,North Beach,empty
104.01,North Beach,empty
312.02,Oceanview/Merced/Ingleside,empty
312.01,Oceanview/Merced/Ingleside,empty
314.02,Oceanview/Merced/Ingleside,empty
314.01,Oceanview/Merced/Ingleside,empty
313.01,Oceanview/Merced/Ingleside,empty
313.02,Oceanview/Merced/Ingleside,empty
262.01,Outer Mission,empty
261,Outer Mission,empty
255.02,Outer Mission,empty
262.02,Outer Mission,empty
255.01,Outer Mission,empty
476,Outer Richmond,empty
479.04,Outer Richmond,empty
478.01,Outer Richmond,empty
426.02,Outer Richmond,empty
426.01,Outer Richmond,empty
479.03,Outer Richmond,empty
479.02,Outer Richmond,empty
427,Outer Richmond,empty
477.01,Outer Richmond,empty
478.02,Outer Richmond,empty
477.02,Outer Richmond,empty
153,Pacific Heights,empty
152.01,Pacific Heights,empty
135,Pacific Heights,empty
134.02,Pacific Heights,empty
134.01,Pacific Heights,empty
132,Pacific Heights,empty
131.02,Pacific Heights,empty
131.01,Pacific Heights,empty
152.02,Pacific Heights,empty
259,Portola,empty
258,Portola,empty
257.02,Portola,empty
257.01,Portola,empty
614.02,Potrero Hill,empty
614.01,Potrero Hill,empty
227.02,Potrero Hill,empty
226,Potrero Hill,empty
227.04,Potrero Hill,empty
601,Presidio,empty
154.02,Presidio Heights,empty
154.01,Presidio Heights,empty
133,Presidio Heights,empty
110.02,Russian Hill,empty
110.01,Russian Hill,empty
109.02,Russian Hill,empty
103,Russian Hill,empty
102.02,Russian Hill,empty
102.01,Russian Hill,empty
109.01,Russian Hill,empty
428,Seacliff,empty
178.01,South of Market,empty
180,South of Market,empty
178.04,South of Market,empty
178.03,South of Market,empty
176.04,South of Market,empty
176.03,South of Market,empty
176.02,South of Market,empty
353,Sunset/Parkside,empty
352.02,Sunset/Parkside,empty
352.01,Sunset/Parkside,empty
351.02,Sunset/Parkside,empty
351.01,Sunset/Parkside,empty
354,Sunset/Parkside,empty
326.01,Sunset/Parkside,empty
331,Sunset/Parkside,empty
330.02,Sunset/Parkside,empty
330.01,Sunset/Parkside,empty
328.01,Sunset/Parkside,empty
327,Sunset/Parkside,empty
326.02,Sunset/Parkside,empty
329.01,Sunset/Parkside,empty
329.02,Sunset/Parkside,empty
328.02,Sunset/Parkside,empty
124.03,Tenderloin,empty
123.02,Tenderloin,empty
125.04,Tenderloin,empty
125.03,Tenderloin,empty
125.02,Tenderloin,empty
124.06,Tenderloin,empty
124.05,Tenderloin,empty
124.04,Tenderloin,empty
123.01,Tenderloin,empty
122.03,Tenderloin,empty
122.02,Tenderloin,empty
122.04,Tenderloin,empty
179.03,Treasure Island,empty
305,Twin Peaks,empty
204.02,Twin Peaks,empty
605.02,Visitacion Valley,empty
264.04,Visitacion Valley,empty
264.03,Visitacion Valley,empty
264.02,Visitacion Valley,empty
264.01,Visitacion Valley,empty
304,West of Twin Peaks,empty
311,West of Twin Peaks,empty
310,West of Twin Peaks,empty
309,West of Twin Peaks,empty
308,West of Twin Peaks,empty
307,West of Twin Peaks,empty
306,West of Twin Peaks,empty
161.02,Western Addition,empty
161.01,Western Addition,empty
160,Western Addition,empty
159,Western Addition,empty
158.02,Western Addition,empty
158.01,Western Addition,empty
151,Western Addition,empty
